ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TEMP_2,TIME,VOICE
2.6491842,-0.39504328,4.7141833,-0.1594011,-0.25867602,-1.0308529,0.57,26.3,4.021062,-0.873734,8.901492,-1.3718776,0.4786907,-4.1873093,-0.14052151,-0.16248068,-0.4674579,0.0,2016-12-29 19:01:57,68.76805331822489
2.9245174,0.06344634,5.4264584,0.13461001,-0.7944827,-0.6857033,0.57,26.2,4.232949,-0.6474819,8.822185,-1.3084313,0.71092826,-3.3957262,-0.15441594,-0.16231367,-0.5572811,0.0,2016-12-29 19:01:58,75.52485936700835
3.9228995,0.62608373,6.815095,0.26137462,-0.15636803,-0.32031384,0.57,26.2,4.1561847,0.4743512,8.869619,-0.23328502,0.15173253,-2.0545244,-0.116193004,-0.18513116,-0.609141,0.0,2016-12-29 19:01:59,74.48085679087528
3.7122097,1.2797008,6.8043213,0.18893503,-0.28950906,-0.34907278,0.57,26.2,4.1659107,0.7625532,8.84493,-0.45370123,0.51714754,-2.040608,-0.112395935,-0.19078775,-0.6381881,0.0,2016-12-29 19:02:00,69.66425031223011
3.371036,2.0614076,9.130288,0.39559448,-0.5536755,-0.19034491,0.57,26.2,3.1141083,0.45190558,9.288006,0.25692776,1.6095021,-0.15771803,-0.088237286,-0.13658303,-0.64889544,0.0,2016-12-29 19:02:01,72.67068226795122
3.8043866,1.8423382,6.4368114,0.65232134,-0.12648337,0.16545714,0.57,26.1,3.6305077,1.0684125,9.04694,0.1738789,0.7739257,-2.6101289,-0.079034455,-0.18024312,-0.6311957,0.0,2016-12-29 19:02:03,75.65997118984173
4.6842556,1.602918,6.530185,0.24965058,0.23784558,-0.06996471,0.57,26.1,4.709395,1.0848726,8.533085,-0.025139118,0.51804537,-2.0028994,-0.103094,-0.23303212,-0.57976604,0.0,2016-12-29 19:02:04,75.12778048060373
4.617218,1.5155296,7.979874,0.55218357,-0.36187485,0.0014122743,0.57,26.1,4.622455,1.282095,8.553136,-0.0052373162,0.23343466,-0.5732617,-0.08958266,-0.23639195,-0.5722028,0.0,2016-12-29 19:02:05,68.29911131630767
4.19943,1.7357962,6.754043,0.44352525,-0.3330978,-0.07102305,0.57,26.1,4.4005427,1.3286324,8.662521,-0.20111294,0.40716392,-1.908478,-0.08390494,-0.22647798,-0.5857508,0.0,2016-12-29 19:02:06,69.55404920540958
4.6842556,2.1799207,6.5241995,0.5702906,-0.32243237,-0.23294084,0.57,26.0,4.758775,1.1852795,8.492233,-0.07451953,0.9946412,-1.9680338,-0.101720385,-0.23805031,-0.5829711,0.0,2016-12-29 19:02:07,67.63371091349873
4.8745947,1.1911154,6.0956373,0.5148961,-0.31283647,-0.158371,0.57,26.0,4.945224,0.83183545,8.427441,-0.07062895,0.3592799,-2.3318028,-0.11046449,-0.24106796,-0.54151416,0.0,2016-12-29 19:02:08,70.97195069389933
4.900931,0.6679823,6.5816603,0.3806709,-0.21587823,-0.0017736653,0.57,26.0,5.328745,0.8029554,8.193108,-0.42781392,-0.13497312,-1.6114473,-0.12834391,-0.25649565,-0.55155426,0.0,2016-12-29 19:02:09,74.52263638726846
4.747702,1.7298107,5.840655,0.710901,-0.39588875,-0.3075011,0.57,26.0,4.9543514,1.9033904,8.246229,-0.20664953,-0.17357962,-2.405574,-0.08892155,-0.2676722,-0.6088666,0.0,2016-12-29 19:02:10,70.52975803461922
4.607641,0.688333,4.378995,0.7513797,-0.3095877,-0.30749843,0.57,25.9,5.0902224,0.8399159,8.339753,-0.4825813,-0.1515829,-3.9607577,-0.12871152,-0.241286,-0.58486056,0.0,2016-12-29 19:02:11,69.78898119499635
3.9073372,1.3335704,3.9480386,0.23046383,-0.28080636,-0.8497146,0.57,25.9,4.721515,0.8717887,8.550742,-0.8141782,0.46178165,-4.602703,-0.122446515,-0.22143891,-0.6141163,0.0,2016-12-29 19:02:12,72.27565128317471
