ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TIME,VOICE
-0.15322891,-0.15322891,9.80665,-0.005321126,-0.005321126,-0.0031926755,0.0,2017-06-10 15:03:12,13.03331078246045
-0.15322891,0.0,9.653421,-0.0021284502,-0.0010642251,-0.0042569004,0.0,2017-06-10 15:03:13,49.16663631450061
-0.15322891,0.0,9.80665,-0.0010642251,-0.0021284502,-0.0031926755,0.0,2017-06-10 15:03:14,45.54811934240827
-0.15322891,0.0,9.80665,-0.005321126,-0.005321126,-0.0042569004,0.0,2017-06-10 15:03:15,22.827023415803467
-0.15322891,0.0,9.653421,-0.006385351,-0.0042569004,-0.0042569004,0.0,2017-06-10 15:03:16,36.13974546712894
-0.15322891,0.0,9.80665,-0.0021284502,-0.0021284502,-0.0021284502,0.0,2017-06-10 15:03:17,21.624461591801015
-0.15322891,0.0,9.653421,-0.0,-0.006385351,-0.0021284502,0.0,2017-06-10 15:03:18,17.356155313681448
-0.15322891,0.0,9.653421,-0.009578027,-0.005321126,0.0021284502,0.0,2017-06-10 15:03:19,28.526489716617366
-0.15322891,0.0,9.80665,-0.0010642251,-0.0010642251,-0.0,0.0,2017-06-10 15:03:20,38.43949908725827
-0.15322891,0.0,9.80665,0.0031926755,-0.0031926755,-0.005321126,0.0,2017-06-10 15:03:21,26.853647387404106
-0.15322891,-0.15322891,9.80665,-0.0042569004,-0.006385351,-0.0010642251,0.0,2017-06-10 15:03:22,51.274153172668605
-0.15322891,0.0,9.80665,-0.0031926755,0.0,-0.0021284502,0.0,2017-06-10 15:03:23,49.63749342979534
-0.15322891,-0.15322891,9.80665,-0.0021284502,-0.0042569004,-0.0021284502,0.0,2017-06-10 15:03:24,44.758592752926475
-0.15322891,0.0,9.80665,-0.0021284502,-0.005321126,-0.006385351,0.0,2017-06-10 15:03:25,50.2085029646139
-0.15322891,0.0,9.80665,-0.0,-0.0031926755,-0.0021284502,0.0,2017-06-10 15:03:26,47.107740597670286
-0.15322891,0.0,9.80665,-0.0031926755,-0.0010642251,-0.0042569004,0.0,2017-06-10 15:03:27,58.71918631901721
-0.15322891,0.0,9.80665,-0.0010642251,-0.007449576,-0.0021284502,0.0,2017-06-10 15:03:28,14.723602369128239
-0.15322891,0.0,9.80665,0.0010642251,-0.0042569004,-0.0042569004,0.0,2017-06-10 15:03:29,50.61932556098341
-0.15322891,0.0,9.653421,-0.007449576,-0.0042569004,-0.0031926755,0.0,2017-06-10 15:03:30,49.76293682168061
